,username,description,profileUrl,location,website
30,GovBillLee,50th Governor of Tennessee,https://twitter.com/GovBillLee,State of Tennessee,http://www.tn.gov/governor
31,GovMikeDeWine,Official Twitter account of Governor Mike DeWine's Office.  Tweets by staff.,https://twitter.com/GovMikeDeWine,Ohio,https://governor.ohio.gov/
32,SenJeffMerkley,"Dad, runner, Chief Filibuster Antagonist. U.S. Senator from Oregon.",https://twitter.com/SenJeffMerkley,Oregon,http://merkley.senate.gov
33,CongressmanRaja,Official Twitter account of Congressman Raja Krishnamoorthi (IL-08) | Ranking Member of Select Committee On The CCP | Serving on @HouseIntel & @OversightDems,https://twitter.com/CongressmanRaja,"Schaumburg, IL",https://krishnamoorthi.house.gov/
34,RepAndyKimNJ,Husband to my college sweetheart. Father to two troublemaking baby boys. Congressman for New Jersey's Third District. All tweets from Congressman Kim signed –AK,https://twitter.com/RepAndyKimNJ,"Moorestown, NJ",http://kim.house.gov
35,RepTimRyan,This account has been archived. Former Congressman for Ohio’s 13th District.,https://twitter.com/RepTimRyan,"Warren, OH",http://timryan.house.gov
36,RepDean,"Congresswoman serving Pennsylvania’s Fourth District - Montgomery and Berks Counties | Committees: @FSCDems & @HouseJudiciary | ""Courage is in the air""",https://twitter.com/RepDean,"Montgomery County, PA",http://dean.house.gov
37,GovAndyBeshear,The official account of the 63rd Governor of the Commonwealth of Kentucky. Tweets from Andy are signed ^AB. #TeamKentucky #TogetherKy,https://twitter.com/GovAndyBeshear,"Frankfort, Kentucky",https://governor.ky.gov/
38,GovMurphy,56th Governor of the Garden State and husband to @FirstLadyNJ. Rebuilding the American Dream in New Jersey. Chair of @NatlGovsAssoc.,https://twitter.com/GovMurphy,"New Jersey, USA",https://nj.gov/governor/
39,GovKemp,83rd Governor of Georgia,https://twitter.com/GovKemp,"Georgia, USA",http://gov.georgia.gov
40,WVGovernor,36th Governor of the Great State of West Virginia.,https://twitter.com/WVGovernor,"Charleston, WV",http://www.governor.wv.gov
41,GovPhilScott,"82nd Governor of Vermont | Working to grow the economy, make Vermont more affordable and protect the most vulnerable",https://twitter.com/GovPhilScott,Vermont,http://governor.vermont.gov
42,GovNedLamont,89th Governor of Connecticut.,https://twitter.com/GovNedLamont,"Hartford, CT",http://ct.gov/governor
43,JohnDelaney,"Husband, Dad, Former Member of Congress, Ran for President, Entrepreneur, CEO of 2 Public Companies. Investor, Philanthropist. Pro-democracy Optimist.",https://twitter.com/JohnDelaney,"Maryland, USA",http://johndelaney.com
44,GovHolcomb,"Hoosier, Husband, Navy Veteran, Dog Dad, 51st Governor of the Great State of Indiana",https://twitter.com/GovHolcomb,"Indiana, USA",http://in.gov/gov
45,SenatorBaldwin,"Official Twitter account of United States Senator Tammy Baldwin's office, proudly working for the State of Wisconsin.",https://twitter.com/SenatorBaldwin,"Washington, D.C.",http://www.baldwin.senate.gov/
46,JohnKasich,"Husband, dad & former Governor of Ohio. Senior Fellow at @BPC_Bipartisan. Nat'l Advisory Committee @TwoPathsAmerica. Distinguished Fellow at @MeadowsInst",https://twitter.com/JohnKasich,"Westerville, Ohio",http://JohnKasich.com
47,GovMattBevin,"Archived Official Twitter Account for the 62nd Governor of the Commonwealth of Kentucky, Matt Bevin. For current updates, please follow: @mattbevin. #WeAreKY",https://twitter.com/GovMattBevin,"Kentucky, USA",http://www.governor.ky.gov
48,GovernorShapiro,48th Governor of the Commonwealth of Pennsylvania.,https://twitter.com/GovernorShapiro,"Pennsylvania, USA",http://governor.pa.gov
49,SenBobCasey,"Official twitter profile for U.S. Senator Bob Casey. Husband, dad, grandpa, history buff, Chairman @SenateAging. Fighting for PA’s children and families.",https://twitter.com/SenBobCasey,"Scranton, PA",https://www.casey.senate.gov/
50,Sen_JoeManchin,"U.S. Senator for #WV. Chairman of @EnergyDems. Please do not hesitate to contact me to share your commonsense ideas, concerns or if you need assistance.",https://twitter.com/Sen_JoeManchin,"West Virginia, USA",https://www.manchin.senate.gov
51,WinsomeSears,"Christian. Wife. Mother. Marine Veteran. Former Virginia State Delegate. Lieutenant Governor of Virginia.
 #everforward #WinsomeForVirginia",https://twitter.com/WinsomeSears,"Winchester, VA",https://www.ltgov.virginia.gov/
52,RepMarkMeadows,"Mark Meadows, Congressman representing Western NC. Personal account. 📸 Instagram: @MarkMeadows",https://twitter.com/RepMarkMeadows,"Asheville, NC",https://www.instagram.com/repmarkmeadows/?hl=en
53,ChrisVanHollen,U.S. Senator for Maryland,https://twitter.com/ChrisVanHollen,"Maryland, USA",https://www.vanhollen.senate.gov/
54,SenatorCardin,"US Senator for Maryland. Chair, #SmallBiz Cmte. #TeamMaryland facebook.com/senatorbencard…",https://twitter.com/SenatorCardin,"Maryland, USA",https://www.cardin.senate.gov/coronavirus-resources
55,SenatorShaheen,Proud Granite Stater serving New Hampshire in the US Senate. Former Governor. Mother & Grandmother. Frequent Flyer. Pats & Red Sox Fan. Outdoor enthusiast.,https://twitter.com/SenatorShaheen,"Washington, DC",http://shaheen.senate.gov/
56,SenThomTillis,Official Twitter account of North Carolina U.S. Senator Thom Tillis.,https://twitter.com/SenThomTillis,"North Carolina, USA",http://tillis.senate.gov
57,DrPhilRoe,"Official Account of former Congressman Phil Roe, MD.",https://twitter.com/DrPhilRoe,East Tennessee,http://www.roe.house.gov
58,VAGovernor73,Official account for Virginia Governor Ralph Northam,https://twitter.com/VAGovernor73,"Richmond, VA",http://www.governor.virginia.gov/
59,SenJackReed,Official Twitter feed of Rhode Island’s U.S. Senator Jack Reed. Chairman of the Senate Armed Services Committee.,https://twitter.com/SenJackReed,"Providence, Rhode Island",http://www.reed.senate.gov
60,SenatorCantwell,U.S. Senator from Washington State | Chair @commercedems  | instagram.com/SenatorMariaCa… | facebook.com/senatorcantwell | RT≠endorsement,https://twitter.com/SenatorCantwell,WA & DC,http://www.cantwell.senate.gov
61,UN_PGA,"Official account of Csaba Kőrösi, President of the 77th session of the United Nations General Assembly. Instagram: instagram.com/unpga/",https://twitter.com/UN_PGA,New York,http://www.un.org/pga/
62,SenatorLeahy,Archived account: Patrick Leahy was the senior United States Senator from Vermont.,https://twitter.com/SenatorLeahy,"Washington, DC",https://web.archive.org/web/20230102154151/https://www.leahy.senate.gov/
63,SenMarcoRubio,Official account of U.S. Senator Marco Rubio.,https://twitter.com/SenMarcoRubio,"Florida, USA",http://rubio.senate.gov
64,SenatorBurr,U.S. Senator from North Carolina,https://twitter.com/SenatorBurr,"Winston-Salem, NC",http://burr.senate.gov
65,BobBradyPHL,"@PHLDems Chairman, Leader of #WestPhilly’s 34th Ward, @America250 Commissioner, 22-Year @Penn Professor, 53-Year Carpenter, Ret. U.S. Congressman. #FlyEaglesFly",https://twitter.com/BobBradyPHL,"Philadelphia, PA",http://phldems.org/leadership
66,SenatorIsakson,"Account for former United States Senator Johnny Isakson, R-Georgia: 2005-2019
U.S. House: 1999-2004

Keep comments family friendly.",https://twitter.com/SenatorIsakson,Georgia,
67,ChuckGrassley,"U.S. Senator. Family farmer. Lifetime resident of New Hartford, IA. Also follow @GrassleyPress for news and information.",https://twitter.com/ChuckGrassley,Iowa,http://grassley.senate.gov
68,GovWhitmer,49th Governor of Michigan. Proud mom.,https://twitter.com/GovWhitmer,"East Lansing, MI",http://www.michigan.gov/whitmer
69,SenMarkey,"Senator for Massachusetts. Chair of Clean Air, Climate & Nuclear Safety and Primary Health & Retirement Security subcommittees. Fighting for a Green New Deal.",https://twitter.com/SenMarkey,Massachusetts,http://www.markey.senate.gov/
70,RepTroyNehls,Congressman (TX-22) | Member of @freedomcaucus | Proudly serving on @JudiciaryGOP and @TransportGOP | Comms Director @TaylorMHulsey,https://twitter.com/RepTroyNehls,"Washington, DC",http://nehls.house.gov
71,RepSummerLee,Representing the People of PA’s 12th Congressional District. PA’s first Black US Congresswoman. Breaking cement ceilings. She/her.,https://twitter.com/RepSummerLee,"Braddock, PA",http://summerlee.house.gov/
72,senatorduff,"Majority Leader of the Connecticut Senate representing the 25th District, which includes Norwalk and Darien.",https://twitter.com/senatorduff,"Norwalk, CT",http://www.senatorduff.cga.ct.gov
73,GovChrisSununu,Official Twitter account of the Office of New Hampshire Governor Chris Sununu.,https://twitter.com/GovChrisSununu,"New Hampshire, USA",http://governor.nh.gov
74,RepRichHudson,"Official Press Account of Congressman Richard Hudson (NC-09) |
Member of @HouseGOP Leadership & @HouseCommerce",https://twitter.com/RepRichHudson,"Southern Pines, North Carolina",https://hudson.house.gov/
75,SenHydeSmith,Office of U.S. Senator Cindy Hyde-Smith (R-Miss.).,https://twitter.com/SenHydeSmith,Brookhaven,https://www.hydesmith.senate.gov/
76,RepJoeCourtney,U.S. Congressman proudly fighting for the residents of Connecticut’s 2nd Congressional District. facebook.com/joecourtney,https://twitter.com/RepJoeCourtney,"Vernon, CT",http://courtney.house.gov
77,RandPaul,"U.S. Senator for Kentucky | I fight for the Constitution, individual liberty and the freedoms that make this country great.",https://twitter.com/RandPaul,"Bowling Green, KY",http://randpaul.com
78,PhilMurphy,"Governor of New Jersey, husband to @TammyMurphyNJ, father of four. Chair of @DemGovs. Official account is @GovMurphy.",https://twitter.com/PhilMurphy,"New Jersey, USA",
79,SenWhitehouse,"U.S. Senator from Rhode Island, the Ocean State. Chairman of @SenateBudget.",https://twitter.com/SenWhitehouse,Rhode Island,http://whitehouse.senate.gov/
80,SenatorWarnock,United States Senator for Georgia. Pastor of Ebenezer Baptist Church.,https://twitter.com/SenatorWarnock,Georgia,https://www.warnock.senate.gov
81,RepChuyGarcia,"Progressive Chicagoan. Congressman for #IL04⁣. Member of @USProgressives, 🚊 @TransportDems.  FB/IG: @RepChuyGarcia",https://twitter.com/RepChuyGarcia,"Chicago, IL",https://chuygarcia.house.gov/
82,Grace4NY,"Wife & Mother, Congresswoman, Attorney.",https://twitter.com/Grace4NY,"Queens, New York",http://gracefornewyork.com
83,senrobportman,Former United States Senator from the Buckeye State,https://twitter.com/senrobportman,Ohio,http://portman.senate.gov
84,RepTerriSewell,"Selma native, U.S. Congresswoman working #ForThePeople of Alabama's 7th District  facebook.com/RepSewell",https://twitter.com/RepTerriSewell,"Washington, DC",http://sewell.house.gov
85,onetoughnerd,Former Governor of Michigan. Proud Nerd.,https://twitter.com/onetoughnerd,"Ann Arbor, Michigan",
86,AdamKinzinger,"Husband, dad, pilot, Lt. Col in @AirNatlGuard, CNN Senior Political Commentator, former Congressman, and founder of @country_f1rst",https://twitter.com/AdamKinzinger,"Channahon, IL",http://www.country1st.com
87,RonWyden,U.S. Senator from Oregon. @SenateFinance Chairman. Follow @WydenPress for updates from my staff. Instagram: Instagram.com/RonWyden. He/him.,https://twitter.com/RonWyden,Oregon,http://wyden.senate.gov
88,AndyOgles,Congressman TN-5 Campaign Account | #Believer | #Patriot | #Conservative | Husband | Father | Friend | Talk Radio Host,https://twitter.com/AndyOgles,"Columbia, TN",http://www.facebook.com/andyogles
89,MassHHS,Official Twitter of the Massachusetts Executive Office of Health and Human Services (EOHHS),https://twitter.com/MassHHS,"Massachusetts, USA",http://mass.gov/eohhs
90,CarolynBMaloney,"Former teacher & Congresswoman, orig. member of M4A caucus, orig. GND co-sponsor, taking on the big banks, #ERA activist, & mom. She/her.",https://twitter.com/CarolynBMaloney,NYC,http://carolynmaloney.com
91,MarkMeadows,Senior Partner: @CPInst | Board: @America1stLegal | Former WHCOS for @POTUS45 and Former Congressman for NC-11,https://twitter.com/MarkMeadows,"Washington, DC",https://www.instagram.com/markmeadows/?hl=en
92,TammyDuckworth,Soldier. Senator. Mother.,https://twitter.com/TammyDuckworth,Illinois,http://tammyduckworth.com/
93,henrymcmaster,117th Governor of South Carolina,https://twitter.com/henrymcmaster,"Columbia, SC",
94,SenAlexander,Updates from former United States Senator Lamar Alexander. 7th generation Tennessean born and raised in Maryville.,https://twitter.com/SenAlexander,"Maryville, TN",http://LamarAlexander.com
95,JahanaHayesCT,CT 5th Congressional District Congresswoman,https://twitter.com/JahanaHayesCT,"Waterbury, CT",http://www.jahanahayes.com
96,RepPeteKing,"Former U.S. Congressman, Rosemary’s Husband. Go Irish! Let’s Go Mets!",https://twitter.com/RepPeteKing,"Seaford, New York",
97,wildforcongress,Congresswoman for #PA07  /Proud Mom to 2 humans and one CongressDog / She/her,https://twitter.com/wildforcongress,"Lehigh Valley, PA",https://wildforcongress.com/
98,RepKathleenRice,"Archived account of former U.S. Congresswoman Kathleen Rice, who proudly represented New York's 4th district in the House of Representatives from 2015 to 2023",https://twitter.com/RepKathleenRice,"Long Island, NY",
99,LindseyGrahamSC,The official Twitter feed for United States Senator Lindsey Graham.,https://twitter.com/LindseyGrahamSC,South Carolina,http://www.lindseygraham.com
100,sendavidperdue,Official Twitter account for U.S. Senator David Perdue of Georgia.,https://twitter.com/sendavidperdue,Georgia,http://perdue.senate.gov
101,RoyCooperNC,Father and Husband. North Carolina's 75th Governor. Carolina Hurricanes Fan.,https://twitter.com/RoyCooperNC,"Raleigh, NC",http://www.roycooper.com
102,sethmoulton,"Father, husband, Marine, Congressman. It's time for a new generation of leadership: @serve_america 🇺🇸",https://twitter.com/sethmoulton,"Salem, MA",http://sethmoulton.com
103,UMichPrezOno,Official account of the 15th President of @UMich. Former President of @UBC and the @UOfCincy.,https://twitter.com/UMichPrezOno,"Ann Arbor, Michigan",http://president.umich.edu
104,GovRaimondo,"This is an archived account for former Governor Gina Raimondo, 75th Governor of the State of Rhode Island.",https://twitter.com/GovRaimondo,"Providence, RI ",https://www.risetogetherri.com
105,ThomTillis,Husband to Susan. Father to Lindsay and Ryan. Papa to Sawyer and Willow Rae. Senator to North Carolina.,https://twitter.com/ThomTillis,"Huntersville, North Carolina",http://www.ThomTillis.com
106,RepAndreCarson,The official Twitter account for Congressman André Carson of Indiana's 7th District. #Indianapolis #Indy,https://twitter.com/RepAndreCarson,Indianapolis,http://carson.house.gov/
107,LisaBRochester,"Congresswoman serving DE - Raised in Wilmington - Biden/Harris Co-Chair - Fmr DE Sec of Labor - @Padua_Academy, @FDUalumni & @UDelaware alum - Proud mother of 2",https://twitter.com/LisaBRochester,"Delaware, USA",http://www.LisaBluntRochester.com
108,RepLawrence,"Congresswoman for Michigan's 14th District: Detroit, Southfield, Oakland and Wayne Counties. Instagram: Repbrendalawrence, Facebook: Rep.BLawrence",https://twitter.com/RepLawrence,"Washington, DC",https://lawrence.house.gov/
109,GovEvers,"Husband to Kathy, lifelong educator, Euchre and bobblehead enthusiast, and 46th Governor of the State of Wisconsin.",https://twitter.com/GovEvers,"Madison, Wisconsin",https://evers.wi.gov/
110,GovernorPataki,"The 53rd Governor of New York🏙️Husband, Father, Military Dad and Grandfather🇺🇸Author “Beyond the Great Divide” and doing all I can to help Ukraine.",https://twitter.com/GovernorPataki,"Peekskill, New York",http://GeorgePatakiCenter.com
111,LtGovHusted,"Husband to @TinaHusted1 | Father to Alex, Katie, & Kylie | Conservative, Innovator & Leader | 66th Lt. Governor of Ohio | Director of @InnovateOhio & @OhioOWT.",https://twitter.com/LtGovHusted,Ohio,http://www.LG.Ohio.Gov
112,GovernorMarkell,Former Governor of #Delaware (2009-17) who signs his tweets -JM.,https://twitter.com/GovernorMarkell,Delaware,http://www.facebook.com/GovernorMarkell
113,AndyKimNJ,"Congressman for NJ's 3rd District. Former WH National Security Official, Diplomat, Dad to two troublemakers.

Whether you voted for me or not, I work for you.",https://twitter.com/AndyKimNJ,"Marlton, NJ",http://www.andykim.com
114,FrankPallone,"The official Twitter account of Congressman Frank Pallone, Jr. (D) of New Jersey's 6th Congressional District, Ranking Member of @EnergyCommerce.",https://twitter.com/FrankPallone,New Jersey,http://pallone.house.gov
115,PatToomey,Official Campaign Account of Republican U.S. Senator Pat Toomey,https://twitter.com/PatToomey,"Allentown, PA",http://www.toomeyforsenate.com
116,MichaelLaRosa46,Press Secretary to the First Lady and Special Assistant to the President,https://twitter.com/MichaelLaRosa46,"Washington, DC",http://Whitehouse.gov
117,repgregwalden,This account has been archived. You can follow former Congressman for Oregon's 2nd District and former Republican Leader of @housecommerce at @gregwalden.,https://twitter.com/repgregwalden,Oregon,http://walden.house.gov
118,ParissAthena,Founder & CEO of @btpipeline 🚀 & @darkmodebeauty💄 | Creator of #BlackTechTwitter | 💍@dayhaysoos | Find a job or hire Black tech talent 🔗,https://twitter.com/ParissAthena,"Boston, MA",https://www.blacktechpipeline.com
119,JohnYarmuth,Former Congressman representing Kentucky’s 3rd Congressional District.,https://twitter.com/JohnYarmuth,"Louisville, KY",
120,RepWilson,Lifelong educator serving Florida’s 24th District in Congress. Founder @5000rolemodels. Higher Ed Subcommittee Ranking Member working to raise teacher salaries.,https://twitter.com/RepWilson,Washington DC,http://wilson.house.gov/
121,bradhoylman,NYS Senator 🏳️‍🌈 dad; husband. Non-gov't account. Government account: @SenatorHoylman,https://twitter.com/bradhoylman,NYC,http://www.bradhoylman.com
122,SalazarSenate,"NY State Senator representing neighborhoods in Brooklyn & Queens | Chair of Crime Victims, Crime & Correction Committee | Tweets by staff 🌹",https://twitter.com/SalazarSenate,"Bushwick, Brooklyn",https://linktr.ee/SenatorSalazar
123,RepChrisPappas,"Member of Congress serving New Hampshire's 1st District | Life-long Manchester Resident, former Executive Councilor for District 4 | #NH01",https://twitter.com/RepChrisPappas,"Manchester, NH",http://pappas.house.gov
124,BobMenendezNJ,"Official campaign account of Senator Bob Menendez. Tweets are from #TeamMenendez unless signed with ""-Bob""",https://twitter.com/BobMenendezNJ,"New Jersey, USA",http://menendezfornj.com
125,JimLangevin,Former U.S. Congressman for Rhode Island's Second District,https://twitter.com/JimLangevin,"Warwick, RI",
126,Maggie_Hassan,Senator. Mom. Sox fan.,https://twitter.com/Maggie_Hassan,"Newfields, NH",http://maggiehassan.com
127,LarryHogan,"62nd Governor of the State of Maryland. Husband, Dad, and Granddad.

Follow @GovLarryHogan for future updates.",https://twitter.com/LarryHogan,"Annapolis, MD",http://www.LarryHogan.com
128,CollinsforGA,"Lifelong Georgian. Husband, father, military chaplain, Iraq veteran. U.S. Congressman fighting for conservative values. #gapol",https://twitter.com/CollinsforGA,"Gainesville, GA",
129,LtGovOliver,"Lieutenant Governor to @GovMurphy and @NJDCA Commissioner. Proud product of Newark public schools. Champion for women's equality, education and social justice.",https://twitter.com/LtGovOliver,"New Jersey, USA",http://nj.gov/governor/admin/lt/
130,RepJohnKatko,Official Twitter account of former Congressman John Katko. Proud Central New Yorker.,https://twitter.com/RepJohnKatko,"Syracuse, New York",
131,SenScottBrown,"Fmr. US Amb. NZ & Samoa, fmr. US Senator, 3x All-American triathlete, Ret. Col. MDARNG, 🎸player. Scottbrown-diplomats.com, @sbrowndiplomats🎸🎤🇺🇸",https://twitter.com/SenScottBrown,"Rye, NH",
132,LizKrueger,"New York State Senator for Manhattan's Midtown and East Side communities. Chair, Senate Finance Committee. Join our mailing list at conta.cc/3YrFMRv.",https://twitter.com/LizKrueger,"New York, New York",http://www.lizkrueger.com
133,ChrisCoonsforDE,U.S. Senator from Delaware. Former New Castle County Exec & in-house counsel for a manufacturing company. Husband & father of 3. (He/Him/His) *Campaign Account*,https://twitter.com/ChrisCoonsforDE,"Delaware, USA",http://chriscoons.com
134,ToddYoungIN,"US Senator for Indiana. A proud husband, father, Naval Academy graduate, and Marine fighting for Hoosier families. Join my team: Text TODD to 41440.",https://twitter.com/ToddYoungIN,"Indiana, USA",http://toddyoung.org
135,SenMastriano,Spent 30 years in the U.S Army and veteran of Desert Storm and Afghanistan. Senator for PA's 33rd Senate District. Follows are not endorsements.,https://twitter.com/SenMastriano,"Fayetteville, PA",http://senatormastriano.com/
136,MarkPocan,Congressman for WI's 2nd District. Former Progressive Caucus Co-Chair. Small-business owner. Labor union member. Campaign account.,https://twitter.com/MarkPocan,"Madison, WI",http://www.pocanforcongress.com
137,GovernorsOffice,"Official account for @GovernorTomWolf's Office. Follow for breaking news, press releases, and photos from the Pennsylvania governor.",https://twitter.com/GovernorsOffice,"Harrisburg, PA",https://www.governor.pa.gov/newsroom/
138,ChrisPappasNH,Congressman in #NH01 | Life-long Manchester Resident | Visit @RepChrisPappas for official updates,https://twitter.com/ChrisPappasNH,"Manchester, NH",http://bit.ly/PappasSocial
139,NYSenatorRivera,"State Senator, ensuring families of the 33rd District in the Bronx have a voice in Albany. Chair, Senate Health Committee. (he/him)",https://twitter.com/NYSenatorRivera,"Bronx, NY",http://rivera.nysenate.gov
140,Call_Me_Dutch,"US Congressman fighting for #Maryland and its Second District as @AppropsDems. Wielding a crab mallet since ’46. Go @Orioles, @Ravens.",https://twitter.com/Call_Me_Dutch,"Washington, DC",http://dutch.house.gov
141,JeanneShaheen,U.S. Senator from New Hampshire. This is the Twitter account of Shaheen for Senate.,https://twitter.com/JeanneShaheen,New Hampshire,https://jeanneshaheen.org/
142,AlondraNelson46,"Deputy Assistant to the President and
Principal Deputy Director for Science and Society,
White House Office of Science and Technology Policy",https://twitter.com/AlondraNelson46,"Washington, DC",http://www.whitehouse.gov
143,SenatorHughes,"PA Senator representing the 7th district, encompassing portions of Phila. & Montgomery County. Sen. Dem. Appropriations Chairman. This is my personal account.",https://twitter.com/SenatorHughes,"Philadelphia, PA",http://www.senatorhughes.com
