username,bio,profile_url,website,location,followers_count
mipaltan,Official Twitter handle of 5-time IPL & 2-time CLT20 champions 🏆 Mumbai Indians. Instagram: mumbaiindians Snapchat: mi_paltan #OneFamily #DilKholKe,https://twitter.com/mipaltan,,"Mumbai, India",8042859
realYamaan,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ || Social media activist ||,https://twitter.com/realYamaan,https://instagram.com/yami_tweets?igshid=YmMyMTA2M2Y=,"Karachi, Pakistan",66236
OfficialSauravD,"Investigative Journalist / Words @Article14live @the_hindu @TheQuint @boomlive_in / Transparency Activist / Support my work, contribute here👇🏻",https://twitter.com/OfficialSauravD,https://rzp.io/l/supportsaurav,India,37421
AnupamPKher,Actor/Teacher/MotivationalSpeaker/UN Ambassador @HeForShe/Author/Padma Shri/PadmaBhushan,https://twitter.com/AnupamPKher,http://www.theanupamkher.com,"Mumbai, India",20204586
GhaffarDawnNews,"Sports Journalist, Head of Sports @Dawn_News, Anchor Program #Replay Mon-Fri 5:05pm.  Subscribe  youtube.com/channel/UCgTVr…",https://twitter.com/GhaffarDawnNews,https://www.dawn.com/authors/4155/abdul-ghaffar,"Karachi, Pakistan",106268
talk2anuradha,Fighting for #OneFamilyOneReservation | TEDx speaker | Founder & CEO of a Content Marketing Company | India's Unique Entrepreneur by India Today,https://twitter.com/talk2anuradha,,Bengaluru,15594
sumanthraman,"Television Anchor Person and Commentator, Political Analyst, Doctor and Healthcare IT Professional.RT's not endorsements",https://twitter.com/sumanthraman,http://www.facebook.com/sumanthraman,Chennai,346134
Dhananjayaka,Actor,https://twitter.com/Dhananjayaka,https://www.facebook.com/dhananjaya.ka/,"Bengaluru, India ",338345
SadhguruJV,"Yogi, Mystic, Visionary &
Founder, @ishafoundation.
Tweets from Sadhguru himself are signed -Sg.
#SaveSoil #ConsciousPlanet | @cpsavesoil",https://twitter.com/SadhguruJV,http://Savesoil.org,India,4077331
shetty_rishab,"Actor,  Director and producer at Kannada Cinema",https://twitter.com/shetty_rishab,https://www.facebook.com/rishab.shetty.5/,"Bengaluru, India",440808
AnilKapoor,"Actor, Producer, Son, Husband & a Father ...Instagram.com/anilskapoor/",https://twitter.com/AnilKapoor,https://www.facebook.com/anilskapoor/,"Mumbai, India",7031185
KikiVijay,"Host , Freelancer , Simple but a Drama Queen😉🍁 instagram.com/kikivijay11/",https://twitter.com/KikiVijay,https://www.youtube.com/channel/UCZVSTPYcwi3WaWouumS7WPQ,"Chennai, India",238852
FahadZirarAhmad,State President at Samajwadi Yuvjan Sabha a Youth Wing of @samajwadiMah | SRF (PHD) TISS| @tedx Speaker | GS TISS-SU 2017-18| #ALIG,https://twitter.com/FahadZirarAhmad,https://en.m.wikipedia.org/wiki/Fahad_Ahmad,"Mumbai, India",54211
ActorAmrithaFC,Fanatics Of @Actor_Amritha. We're Connecting Amritha Fans Everywhere With Love. 💜 Official Fan Page Of @Actor_Amritha! #SpreadAmrithayism,https://twitter.com/ActorAmrithaFC,,"Bengaluru, India",144955
BarakRavid,Diplomatic Correspondent at Walla News. Axios Middle East Correspondent. Author of Trump's Peace. מחבר השלום של טראמפ. 👇הזמנות בקישור,https://twitter.com/BarakRavid,https://www.ybook.co.il/book/8035,"Tel-Aviv, Israel",234239
deepakshenoy,"Founder,CEO, @capitalmind_in We can help you build long term wealth at our PMS: capitalmindwealth.com
My book - Money Wise at amzn.to/3CgkGea",https://twitter.com/deepakshenoy,https://www.capitalmind.in,"Bangalore, Karnataka, India",214118
Tam_Khan,Muslim|Athlete|Actor|Entrepreneur|Father|Pioneer of MMA in UAE|Founder @TKMMAFIT @TKFightNight @DxbFight|Founder/CEO of #SocialKnockout|Ahlan Hot 100 2014/17/18,https://twitter.com/Tam_Khan,https://youtube.com/@TKMMAFIT,"Dubai, United Arab Emirates",198514
MoeedNj,"CEO & Editor Global Village Space;TV Anchor at 92 News, prominent Columnist & Blogger",https://twitter.com/MoeedNj,http://www.moeedpirzada.pk,Islamabad,3003538
StudioGreen2,"#StudioGreen is a South Indian film production and distribution company, based out of Chennai. Upcoming #Suriya42 #Thangalaan #PathuThala",https://twitter.com/StudioGreen2,http://www.studiogreen.in,Chennai,708493
priyankac19,"MP-Rajya Sabha,Deputy Ldr-Shiv Sena UBT. Member Standing Comm-Commerce. Consultative Comm-MEA. Tweets personal.",https://twitter.com/priyankac19,,"Mumbai,India",1262443
Suriya_offl,Actor/Producer,https://twitter.com/Suriya_offl,http://agaram.in/,Chennai,8639525
ShahzadiRai,I'm a transgender rights activist and the violence case manager at Gender Interactive Alliance. I take pride in working for my own community.,https://twitter.com/ShahzadiRai,,,11350
Ghummans,"B.Chief ARY, ISB, Analyst/columnist/ Ex-Dunya, Dawn, 92TV. Fellow @Harvard School of Public Health. Royal Holloway, College UK (2007-2008). Reporting since 2001",https://twitter.com/Ghummans,http://Facebook.com/khawarghummandotcom,Islamabad,984610
udaydasari,"Founder, CEO & Chairman @Tanla_India. Passionate about platforms, products and plants .",https://twitter.com/udaydasari,https://tanla.com/,"Hyderabad, India",68540
mandhana_smriti,"Member Team Maharashtra, India Women. Managed by Baseline Venture. For Media/ Commercial enquiries: ✉️partnerships@baselineventures.com",https://twitter.com/mandhana_smriti,https://facebook.com/mandhanasmriti18,Sangli,982662
SalmanKNiazi1,Managing Partner@The Crown Law Chambers.Opinion Writer for Dawn. Legal Consultant @UN Environment. Legal Analyst @Suno TV,https://twitter.com/SalmanKNiazi1,,Lahore,38772
PanduGadu2_0,Proud Fan Of TFI Emperor @urstrulymahesh ♡ | #SSMB28 | #SSMB29 | Fan Account,https://twitter.com/PanduGadu2_0,https://www.maheshbabufoundation.org/,India,46406
annamalai_k,அறம் செய்ய விரும்பு. State President - TN BJP,https://twitter.com/annamalai_k,http://www.tamilnadu.bjp.org,India,542554
PWilsonDMK,"Senior Advocate | Member of Parliament, Rajya Sabha (TN) | Former Addl Solicitor General of India | Former Addl Advocate General TN | Dravidian Stock|",https://twitter.com/PWilsonDMK,http://pwilson.in,India,58810
MalavikaM_,Actor,https://twitter.com/MalavikaM_,https://www.facebook.com/mohananmalavika,"mumbai,india",1219108
amarprasadreddy,"State President, Sports and Skill Development Cell, BJP TN | Professor | Former Advisor to Union Minister of State for Health and Family Welfare, Govt of India",https://twitter.com/amarprasadreddy,,India,107928
PMOIndia,Office of the Prime Minister of India,https://twitter.com/PMOIndia,http://pmindia.gov.in,India,52590031
PoliticalKida,"Lie Detector, Hypocrisy Slayer | Contact- 9958816811 | Support Us- instamojo.com/@PoliticalKida",https://twitter.com/PoliticalKida,https://youtube.com/c/PoliticalKidaIn,India🇮🇳,180559
Riteishd,"Actor, Architect, Producer : Mumbai Film Company @mfc @imaginemeats @deshmusiclabel",https://twitter.com/Riteishd,http://www.imaginemeats.com,"Mumbai, India",11404558
vijaythottathil,"I am here to fight for a better India, views are my personal opinion. Indian National Congress Soldier ! SM Coordinator @INCOverseas, SM activist. #BharatJodo",https://twitter.com/vijaythottathil,,"Kozhikode, India",13736
PTUshaOfficial,"Olympian - Track & Field Athlete 🇮🇳 | 
Member of Parliament - Rajya Sabha | President - Indian Olympic Association",https://twitter.com/PTUshaOfficial,http://www.ptusha.org/,India,152201
sharibhashmi,All things #cinema par khaaskar #Actor #Writer,https://twitter.com/sharibhashmi,https://m.facebook.com/sharib.hashmi.7?ref=bookmarks,"Mumbai, India",48200
LycaProductions,Lyca Productions is an Indian Entertainment Company. The Production Studio has been involved in the Production & Distribution of Films Made in India since 2014.,https://twitter.com/LycaProductions,https://lycaproductions.in/,"Chennai, India",1071005
ParthJindal11,"Dreamer. Bengaluru FC, Inspire Institute of Sport, Haryana Steelers, Delhi Capitals, PC. JSW Cement, JSW Paints. Innovator. Creator. Building a modern India.",https://twitter.com/ParthJindal11,http://www.jsw.in,Mumbai,64124
majorgauravarya,"Honoured to be followed by Shri @narendramodi Ji, Prime Minister of India | Editor in Chief of Chanakya Forum | Founder of The Chanakya Dialogues",https://twitter.com/majorgauravarya,http://www.majorgauravarya.com,India,1492723
Anikhaofficial_,Artist | South Indian Actor | State Award Winner | Dancer,https://twitter.com/Anikhaofficial_,,"Manjeri, Kerala",178957
KapilSharmaK9,"Actor, who loves to make ppl laugh 🤗",https://twitter.com/KapilSharmaK9,,"Mumbai, India",19828415
alishaabdullah,State secretary of sports & skill development cell BJP-TN🇮🇳 …1st Women President Awardee. National Car & Bike racing champion.,https://twitter.com/alishaabdullah,,"Chennai, India",61231
anandmahindra,"Chairman & Team member, Mahindra Group",https://twitter.com/anandmahindra,http://www.mahindra.com,"Mumbai, India",10451005
ArifAlvi,President of the Islamic Republic of Pakistan,https://twitter.com/ArifAlvi,http://President.gov.pk,"Karachi, Sindh, Pakistan",4215127
Ajith_tweets,"Love Cricket & Travel. Head - Content & Digital - @rcbtweets. Previously Head - Videos, Product, Growth & Partnerships - @cricbuzz. Views Personal.",https://twitter.com/Ajith_tweets,,India,15272
NagaBabuOffl,ACTOR / PRODUCER / POLITICIAN / PHILANTHROPIST,https://twitter.com/NagaBabuOffl,https://en.m.wikipedia.org/wiki/Nagendra_Babu,"Hyderabad, India",296593
JagannathaDhaam,"Official Twitter Account of Shree Jagannatha Temple, Puri.",https://twitter.com/JagannathaDhaam,https://www.shreejagannatha.in/,Puri,176315
vijayshekhar,Founder @Paytm,https://twitter.com/vijayshekhar,,India,592986
udaykotak,"CEO, Kotak Mahindra Bank",https://twitter.com/udaykotak,https://www.kotak.com/en/about-us.html,"Mumbai, India",1197845
RanaDaggubati,#TimeIsTemporaryFilmsAreForever,https://twitter.com/RanaDaggubati,,"Hyderabad, India",6538404
chiyaan,Actor,https://twitter.com/chiyaan,http://instagram.com/the_real_chiyaan,"Tamil Nadu, India",350216
ChidiNwatu,Dad-In-Chief. Never forget WHO you are…and WHOSE you are! Gunner! #SilenceIsComplicity #Udo RTs‡endorsements,https://twitter.com/ChidiNwatu,,HQ,19504
AmmadYousaf,President @ARYNEWSOFFICIAL (All views/tweets are personal),https://twitter.com/AmmadYousaf,https://www.arynews.tv,"Karachi, Pakistan",62518
kvng_baff,"Roman 10:9 MPhil student 📚📖, Ragnar⭐️Dm me for Ads &Promos",https://twitter.com/kvng_baff,https://youtube.com/channel/UCb2v3gvlYOeACs1NYmRLIkA,Türkiye🇹🇷,115197
mfayyazraja,Working Journalist Since Dec 2000 | Worked as Trainee to Director News | Never Black Mailed from Media Owners | Journalism is my Passion | رازق رب کی ذات ہے |,https://twitter.com/mfayyazraja,https://www.youtube.com/channel/UCwPbg9taFNqDKle4CiioEHQ,Islamabad,162915
sethimirajee,Actor. Also wrote a collection of short stories called ARE YOU ENJOYING? (2021 @aaknopf and @bloomsburybooks): tinyurl.com/tfdz0e63,https://twitter.com/sethimirajee,http://instagram.com/mira.sethi,Karachi,33061
KTRBRS,"Personal account of Minister for Municipal Admin & Urban Dev, Industry & Commerce, ITE&C | MLA from Siricilla, Telangana",https://twitter.com/KTRBRS,,"Hyderabad, Telangana",3910513
PCcityPolice,"This is the official account of Pimpri Chinchwad Police. Not Monitored 24/7. Monitored only between 10 am & 6 pm. For any emergency, please dial 112.",https://twitter.com/PCcityPolice,https://pcpc.gov.in/,"Pimpri Chinchwad, India",53550
JemiRodrigues,"|| Lil' J ||  For commercial partnerships, please contact partnerships@jsw.in",https://twitter.com/JemiRodrigues,https://www.instagram.com/jemimahrodrigues/,"Mumbai, India",146340
AparBharat,"Better than Heaven or Arcadia
I love thee, O my India!
#TeamAIVA.... 

All my threads are compiled in one master thread which is pinned to my profile 🙏🏼",https://twitter.com/AparBharat,,Maharashtra,38594
13harmanpreet,International hockey player representing Team India. Proud Indian.world cup champion ✌️🇮🇳Tokyo Olympic 🥉,https://twitter.com/13harmanpreet,https://www.fih.hockey/events/hockey-stars-2022/vote,India,20021
MsKajalAggarwal,Actor. Entrepreneur. Dreamer. Traveller. Foodie.,https://twitter.com/MsKajalAggarwal,https://www.facebook.com/ImKajalAggarwal/,India,5651177
netshrink,"🔔Director @CMHLPIndia ILS Psychiatrist, more about me here: cmhlp.org/team/soumitra-… 
Views are personal
Mostly on Mastodon @netshrink@mas.to",https://twitter.com/netshrink,http://www.cmhlp.org,"Pune, India",36869
ssingapuri,Social media influencer. Public Interest litigations/Director|H.R Consultant| Koo @ssingapuri Instagram @ssingapuri facebook.com/Sundeep.Singap…,https://twitter.com/ssingapuri,,Bharat,21245
megirish2001,"Writer of Thoughts, Mother of a Hero. 
Journeying with Hope..Faith..Effort.

Co-founder majorakshaytrust.org 
Always #IndiaFirst 🇮🇳",https://twitter.com/megirish2001,https://findingnewmeaning.blog/,India,58478
varinder_bansal,"Founder: Omkara Capital. Ex- Fund Manager. Ex-Head Of Research & Corporate Editor, CNBC India. Mission: Building wealth slowly, steadily but surely with Omkara",https://twitter.com/varinder_bansal,https://omkaracapital.in,Mumbai,369024
SeharShinwari,Actor | Social Activist. Tweets are personal opinion & RTs aren't endorsement. Dm for paid promotions.,https://twitter.com/SeharShinwari,https://youtube.com/@seharshinwari,"Karachi, Pakistan",136447
Hari_Socialist,"#Socialist | #Suriya42 | #VaadiVaasal | Tweets, Likes, Retweets Are Completely Personal | My Back Up Id Follow 👉 @Hari_AISFC",https://twitter.com/Hari_Socialist,,"Tamil Nadu, India",30100
VishalKOfficial,"#Actor, #Producer & fellow #Human who luvs movies & anythin related to it. For Business Queries - team.vishalkrishna@gmail.com",https://twitter.com/VishalKOfficial,https://youtu.be/SYuI8RFjeC0,Chennai,1945067
galattadotcom,"Leading digital media company, organiser of India’s biggest and most credible digital media awards ceremony, The Galatta Crown. Wholly owned by @arunarkrishnan",https://twitter.com/galattadotcom,https://www.instagram.com/galattadotcom/,"Chennai, India",417620
hvgoenka,"Chairman - RPG Enterprises. Loves people, food, sports, art. Happiness addict.",https://twitter.com/hvgoenka,http://www.rpggroup.com,Mumbai,1792194
UnSubtleDesi,"Accidental journalist. Editor-in-Chief, OpIndia. 📧 nupur@opindia.com",https://twitter.com/UnSubtleDesi,https://linktr.ee/UnSubtleDesi,India,552302
supriyasahuias,"Addl Chief Secretary Environment Climate Change & Forests, Govt of Tamil Nadu.Former DG,Doordarshan. Tweets personal",https://twitter.com/supriyasahuias,,"Chennai, India",236340
KanganaTeam,"Actor, Filmmaker, Producer, Writer. Recipient of Padmashri, Four national awards winner, pioneer of parallel female centric cinema in 🇮🇳",https://twitter.com/KanganaTeam,https://instagram.com/kanganaranaut?igshid=17dpy95g592xf,Mumbai,2978938
Siva_Kartikeyan,Actor in Tamil Film Industry,https://twitter.com/Siva_Kartikeyan,,Chennai,7760678
gvprakash,💫✨Fly High✨💫 Instagram.com/gvprakash,https://twitter.com/gvprakash,http://bit.ly/GVPyoutube,india,6560682
RamMNK,"Member of Parliament, India. 16th & 17th LokSabha from Srikakulam. Telugu Desam Party National General Secretary. #TDPTwitter",https://twitter.com/RamMNK,,"Srikakulam, Andhra Pradesh",178512
offl_Lawrence,"Choreographer, Actor, Director, Producer, Philanthropist.",https://twitter.com/offl_Lawrence,https://en.wikipedia.org/wiki/Raghava_Lawrence,"Chennai, Tamil Nadu",1018899
SpitchNzawumbi,Broadcasting Extraordinaire | Orator & budding author | Founder of Mastandi | Over Achiever | Dubai Real Estate | NOT ON FACEBOOK bookings@spitchnzawumbi.co.za,https://twitter.com/SpitchNzawumbi,http://www.dtps.gov.za,"Dubai, United Arab Emirates",155470
moneycontrolcom,"Sign up for #MCPro for the most useful insights on markets, companies, and the economy. 

moneycontrol.com/promos/pro.php",https://twitter.com/moneycontrolcom,http://www.moneycontrol.com,Mumbai,1378310
harbhajan_singh,"Member of Parliament (Rajya Sabha) Proud father,🏏 Facebook: facebook.com/HarbhajanTurba… Instagram: instagram.com/harbhajan3/",https://twitter.com/harbhajan_singh,https://www.youtube.com/channel/UCxpqYhKi9JpOx-B6Q20N4yQ,India,11849088
MalBokhari,Barrister.Former MNA PTI & Parliamentary Sec Law. PTI Spokesperson on Legal Issues.Queen mother scholar. World Economic Forum YGL 2021,https://twitter.com/MalBokhari,,Islamabad,218036
SanggitaT,Proud Sanatani..Nationalist..Yoga freak.. Proud to be followed by Union Minister of Culture Tourism and development Kishan Reddy ji and Kapil Mishra ji 💕,https://twitter.com/SanggitaT,,India,16653
AseefaBZ,Proud daughter of SM Benazir Bhutto. Ambassador for #PolioFree🇵🇰. GlobalCitizen. Rights activist. TV addict. MSc @UCLGlobalHealth. PhD? Hogwarts,https://twitter.com/AseefaBZ,http://aseefabz.com,Karachi,2893990
KrisNair1,| Secular | RaGa | CTF | Support Women Empowerment | Optimist | Sports Lover | Traveller |,https://twitter.com/KrisNair1,,"Bangalore, India",29410
itz_expiry45,Backup @Expirytweets || @Expiry_here @actorvijay ❤️,https://twitter.com/itz_expiry45,,"Chennai, India",13501
SVC_official,Indian Film Production Company,https://twitter.com/SVC_official,https://t.me/SVC_Official,"Hyderabad, India",517248
ErayCr,Creative Director (Films - Digital). Ex Editor-in-Chief (BusinessofCinema). Writer. Filmmaker. Entrepreneur. Cat dad.,https://twitter.com/ErayCr,https://t.me/ErayCr,India,28329
ColoursOfBharat,"An attempt to highlight the beautiful locales, cultural heritage, & diversity of Bharat & it`s historical & cultural inter-linkages with the world",https://twitter.com/ColoursOfBharat,,Bharat,60886
MusicThaman,Music Composer Drummer in Indian film industry / Cricketer,https://twitter.com/MusicThaman,http://www.facebook.com/MusicThaman,India,2689990
GbankApy,"The Best Rebase Auto Staking and Auto Compounding Protocol in Crypto! Highest fixed Apy - 953,456%, get rewards every 3 seconds / 28,800 Times Daily",https://twitter.com/GbankApy,https://gamebank.fun/,United Arab Emirates,14651
UrsHNE,First 150K Liked FB Troll Page || Fan Of TFI Emperor @urstrulyMahesh || Madly Waiting For #SSMB28,https://twitter.com/UrsHNE,,"Hyderabad, India",11666
anand_srini,"Value Investor,Speculator, Author & Consultant. Vice President and Treasurer, Professional Congress Tamil Nadu. Follow my You Tube channels Money Pechu &Be rich",https://twitter.com/anand_srini,http://www.moneypechu.com,"Chennai, India",66442
BakhtawarBZ,"#SZABIST #ZABTech #ZABEd, 1st baby born to a sitting female Prime Minister (in History!), 2nd of 3 Bhutto-Zardari, Unfiltered - #JeayBhutto ✌️",https://twitter.com/BakhtawarBZ,http://www.instagram.com/bakhtawarbz,Karachi/Dubai,3315920
PCMohanMP,"3rd Term BJP LS MP-Bengaluru Central | Member of Standing Committees on EA, UD & OBC | 2-Time MLA | Believer in the Politics of Development and Good Governance",https://twitter.com/PCMohanMP,http://www.pcmohan.com,Bengaluru,99991
SunielVShetty,"Sportsman At Heart, Actor By Art, Humanitarian By Virtue, Businessman By Default.",https://twitter.com/SunielVShetty,http://s2rd.com/svs/index.html,"Maharashtra, India",1259714
adnanactor,Actor,https://twitter.com/adnanactor,https://cerealent.com/about-cereal-entertainment/,"Karachi, Pakistan",144458
RashmiDVS,Hindu human rights | Energy Systems Major | Grad & Former SU President @UniofOxford | 24 | Executive Director @Punarnava_Group | MD @FoundationAtmah,https://twitter.com/RashmiDVS,,"Udupi, Karnataka, India",164269
harish2you,"Filmmaker ( Telugu )                                   “Views expressed here are completely Personal""",https://twitter.com/harish2you,http://facebook.com/iamharishshankari,"Hyderabad, India",1656215
MirrorNow,"We demand accountability | Relentlessly drive improvement | Address people's issues 📺 Tata Play 612, Airtel 394, Videocon d2h/Dish TV 899/733, Sun Direct 570",https://twitter.com/MirrorNow,http://www.mirrornownews.com,India,121083
Ahmedshabbir20,"Once a paperboy, now a journalist. Senior News Editor @thenewsminute . Chevening fellow. Opinions expressed here are personal.",https://twitter.com/Ahmedshabbir20,https://instagram.com/ahmed_shabbir20?igshid=YmMyMTA2M2Y=,Chennai - India,113859
kpbrindareddy,"Model,Entrepreneur,,owner/partner ZOOM ADZ ,ZOOM ADZ TV.Luv my fam❤️Mom n Dad r my God n world🥰 m.youtube.com/results?sp=mAE…",https://twitter.com/kpbrindareddy,http://Www.zoomadz.co.in,"India, Chennai.",40695
IftikharDurani,PhD in Public Policy.Former Special Assistant to PM Imran Khan on Media. Member of Imran Khan’s Caravan of Change.Ex Advisor to KP Govt.Ex @ptiofficial CMD Head,https://twitter.com/IftikharDurani,https://m.youtube.com/channel/UCENaMe44VwszvTz8yxA_C8Q/videos,Islamabad,169423
NtrMurali9999,Diehard fan of @tarak9999 #NTR | MD of N creations Partner at Gayatri Builders. Fb : facebook.com/murali.nadhipa…,https://twitter.com/NtrMurali9999,https://instagram.com/murali.nadhipati,Hyderabad,40346
Shehzad89,"Host of the podcast The Pakistan Experience.

BA/LLB - LUMS 2012

MA Brooklyn College 2015 - Fulbright Scholar.

Writer. Stand-Up Comedian. Content Creator.",https://twitter.com/Shehzad89,,"Karachi, Pakistan",44306
gauravcsawant,"Managing Editor, Anchor #IndiaFirst @ 10 pm @IndiaToday & @Aajtak at 4 pm. Reporter at heart. Author Dateline Kargil & #VeerGatha, 6 Para Jumps + 1 AFF",https://twitter.com/gauravcsawant,,BHARAT,1435560
aamnaisani,"Founder and Editor-in-Chief, Something Haute. Used to be an obsessive writer. YouTuber now.",https://twitter.com/aamnaisani,http://somethinghaute.com,Karachi,55980
VVSLaxman281,"Ex-International Cricketer, Head of Cricket- NCA",https://twitter.com/VVSLaxman281,http://instagram.com/vvslaxman281,India,7347020
immancomposer,D.Imman Music Composer (music is what I breathe)- National Award Winner-State Award Winner-Kalaimaamani Award Recipient,https://twitter.com/immancomposer,,chennai,1612192
NelloreNTRfc,This Page Completely Dedicated To One & Only #ManOfMassesNTR || Follow For Latest Updates Of #RRRMovie | #NTR30 | #NTR31,https://twitter.com/NelloreNTRfc,,"Nellore, India",15041
ssrajamouli,film director,https://twitter.com/ssrajamouli,http://instagram.com/ssrajamouli,"Hyderabad, India",6321379
ElliAvrRam,"Elisabet. Actor, Dreamer & Achiever. Dream it, Create it and Achieve it!",https://twitter.com/ElliAvrRam,,"Mumbai, India",2100922
hey_yogini,Cofounder | Chief Tasks Officer @peerlistHQ,https://twitter.com/hey_yogini,https://peerlist.io/yogini,"Pune, India",32105
rightwingchora,कर्मणयेवाधिकारस्ते मा फलेषु कदाचन|| Social Activist|| Unskilled Writer||Entrepreneur||Tweets on Temple|History|Dharma||Research Analyst||Digital Marketing||,https://twitter.com/rightwingchora,,अखंड भारत,46870
DhivyaDharshini,Actor/Anchor/Entertainer/traveler who loves dancing,https://twitter.com/DhivyaDharshini,https://en.wikipedia.org/wiki/Dhivyadharshini,"Chennai, India",2242045
Nehhaamalik,"New Account, old account got deleted 🙈 follow me here and show your love 🙏 Model, Actor,Blogger Instagram- Nehamalik335 Snapchat- Nehhaamalik 👻",https://twitter.com/Nehhaamalik,,"Mumbai, India",64209
