Username,Bio,profile URL,Location,Websites
ebtekarm,"professor of immunology, former vice president on women and family affairs,former head of department of environment, iran , un champion of the earth, mother",https://twitter.com/ebtekarm,,https://t.co/DY1WzB7Zt7
NeelieKroesEU,non exec. board member salesforce; rijksmuseum. former vice president of european commission for digital agenda,https://twitter.com/NeelieKroesEU,global,https://t.co/rA76Jcys10
praful_patel,"mp • vice-president - nationalist congress party • former union minister of civil aviation, heavy industries & public enterprises • fifa council member",https://twitter.com/praful_patel,"maharashtra, india",https://t.co/e0Xyw1PACM
JesseRodriguez,vice president of editorial & booking for @msnbc; e-mail: jesse.rodriguez@nbc.com,https://twitter.com/JesseRodriguez,"new york, ny",https://t.co/5TAF6ijWwt
theAliceRoberts,"prof of public engagement in science, uni of birmingham; anatomist, author, broadcaster; vice president of humanists uk. all views my own.",https://twitter.com/theAliceRoberts,location: crypt of lieberkuhn,https://t.co/HKtSWtKUec
SATAVRAJEEV,"* mlc maharashtra 
* elected member a.i.c.c
* vice president @incmaharashtra  *mbbs - opthalmoligst 
*congress loyalist",https://twitter.com/SATAVRAJEEV,,
JCCIC,the joint congressional committee on inaugural ceremonies is responsible for planning & execution of swearing-in ceremonies of the president and vice president.,https://twitter.com/JCCIC,"washington, dc",https://t.co/xSdRI9OoEZ
MikePereira,former vice president of officiating in the national football league. current rules analyst at fox sports. referee of twitters 18th officiating crew,https://twitter.com/MikePereira,"sacramento, ca",http://t.co/mRELlfqgIf
DilipGhoshBJP,bjp - national vice president || member of parliament from medinipur ii ex- mla,https://twitter.com/DilipGhoshBJP,"paschim banga, india",https://t.co/GDklHOyYxh
ShyamSJaju,former national vice president of bharatiya janata party.,https://twitter.com/ShyamSJaju,,https://t.co/cjXqo5t9hJ
crainbf,"towards open systems and freedom. 
co-founder / ceo @chorusone. foundation council / vice president @interchain_io 🚀. co-host epicenter podcast @epicenterbtc",https://twitter.com/crainbf,~minwyc-dablen,https://t.co/9Jf2vCV1wM
SteveScully,"senior vice president - bipartisan policy center; host, 'the briefing' noon-2pm & 6-8pm et on sirius xm potus 124; contributor, https://t.co/pjirs7klr5",https://twitter.com/SteveScully,"washington, dc",https://t.co/vsgdBvx77u
MarkRein,vice president and co-founder of epic games. carolina hurricanes fan.,https://twitter.com/MarkRein,"raleigh, north carolina",https://t.co/EVe03LZtLP
The_NehaJoshi,national vice president & incharge rajasthan @bjym | national media panelist bjp | proud pahadi,https://twitter.com/The_NehaJoshi,uttarakhand,
larry_levitt,"executive vice president for health policy, @kff (kaiser family foundation). cal bear.",https://twitter.com/larry_levitt,"oakland, ca",https://t.co/hy6QI5S8rr
carlscrush,"michael carl, vice president of pr and influence, hermès, sports freak, fashion obsessed, love a good practical joke. hate bagels",https://twitter.com/carlscrush,united states,
andrewsweiss,"vice president for studies & james family chair @carnegieendow. 
new graphic novel! accidental czar: the life and lies of vladimir putin https://t.co/zf76defm5h",https://twitter.com/andrewsweiss,"washington, dc",https://t.co/odcR29xyb2
officialmutombo,ceo & president of the dikembe mutombo foundation | nba global ambassador instagram:dofficialmutombo,https://twitter.com/officialmutombo,atlanta,http://t.co/DWx40ph6xE
DrAmirKhanGP,nhs doctor•best selling author•gp on @lorraine + @gmb• president @natures_voice •vice president @wildlifetrusts• ambassador @savebutterflies,https://twitter.com/DrAmirKhanGP,yorkshire and the humber,https://t.co/9PX6xO6pA5
VivianeRedingEU,"former vice-president of the european commission, former member of the european parliament 
🇱🇺🇪🇺 
facebook: vivianeredingeu instagram: vivianereding",https://twitter.com/VivianeRedingEU,luxembourg europe,
tunajibu,vice president - ffi | former cabinet minister & member of parliament - government of kenya 🇰🇪,https://twitter.com/tunajibu,kenya,
tunasweasel,espn vice president & executive producer 🏈,https://twitter.com/tunasweasel,,
NFLfootballinfo,nfl senior vice president of football & international communications,https://twitter.com/NFLfootballinfo,new york city,http://t.co/QMrPKzlbM1
mattmfm,democratic pollster & strategist • vice president @ whitman insight strategies • @victoryfund board,https://twitter.com/mattmfm,ri → dc → nyc → ri,https://t.co/rqleYAXY73
kiraincongress,"member of ukrainian parliament, leader of political party golos, vice president of alde. #warinukraine #ukraine #ukrainetoday #congresswoman",https://twitter.com/kiraincongress,"kyiv, ukraine",https://t.co/1t8Sx3ARDO
ChingteLai,"vice president of taiwan r.o.c., chairperson of democratic progressive party.",https://twitter.com/ChingteLai,taiwan,https://t.co/jlskvCNP8H
Anna_Veduta,"vice president anti-corruption foundation @acf_int, team @navalny in the usa https://t.co/vlzjosxj89 || mia @columbiasipa. 💛💙against war in ukraine 🇺🇦",https://twitter.com/Anna_Veduta,"washington, dc",https://t.co/IMhJdAS1vM
AntonioArellano,"orgullosamente latino. vice president of communications, @nextgenamerica",https://twitter.com/AntonioArellano,,https://t.co/4bOQMqS1K8
harlemdesir,"senior vice-president europe, international rescue committee @rescueorg . personal account",https://twitter.com/harlemdesir,"bruxelles, belgique",https://t.co/kPbWQeHQ9y
arnemeyer,"vice president at @naughty_dog. the last of us part ii, uncharted, jak & daxter. despite all the bread pics, i sometimes play video games.",https://twitter.com/arnemeyer,"los angeles, ca",https://t.co/2AssMWKOTJ
nixonron,"@ap vice president, news and 
head of investigations, enterprise, partnerships and grants, former @nytimes @usmc vet. co-founder @ibwellssociety",https://twitter.com/nixonron,washington dc • johannesburg,https://t.co/cZPm1dObWa
adotdee,exec vice president - @atlanticrcrdsuk🌍,https://twitter.com/adotdee,"london, england",
PearlsFromMyrna,"now on mastodon @pearlsfrommyrna@c.im
retired executive secretary for mr. stanley bogenshoots, senior vice president at hughes aircraft.",https://twitter.com/PearlsFromMyrna,vaca muerta estates,
EvanFeigenbaum,vice president @carnegieendow; 2019-20 james r. schlesinger distinguished professor @miller_center; twice us deputy assistant secretary of state; asia's future.,https://twitter.com/EvanFeigenbaum,"washington, dc",https://t.co/ABexH2X0Bt
NatashaBertaud,deputy head of cabinet for @eu_commission vice-president @margschinas. #migrationeu #securityunion,https://twitter.com/NatashaBertaud,brussels,https://t.co/fN7tFe7g58
Salilacharya,"rj vj podcaster @spotify .. #karmickonnection ..  associate vice president @radiocityindia , production house #ssproductions",https://twitter.com/Salilacharya,"mumbai, india",https://t.co/5UBXjDYUa3
MJBank,แบงค์ พชร ปัญญายงค์ vice president of toyota bangkok group นักคิด นักทำ นักพูด นักลงทุน money jockey,https://twitter.com/MJBank,"city of angel: bkk, tha",https://t.co/P7rYfOHIUg
EvaKaili,vice president 🇪🇺 european parliament | chair c4ai | ict | foresight innovation digital strategy | csr | investeu | blockchain | eva@evakaili.gr s&d 🇬🇷,https://twitter.com/EvaKaili,"brussels, athens, thessaloniki",https://t.co/ufKJaItgZx
HugoSAS,executive director & vice president @oceana uk 🌎🌊🐋🐟former ceo @sascampaigns columnist @oceano_mag alum @edoceanleaders @uniofexeter | views own |,https://twitter.com/HugoSAS,cornwall & london,https://t.co/zZORLpr1Kn
MaloneySuzanne,vice president & director of @brookingsfp. iran junkie at brookings' center for middle east policy. fmr state & xom. opinions are my own.,https://twitter.com/MaloneySuzanne,"washington, dc",https://t.co/EdpTUcnBY8
SunilYadavBJP,vice president @bjp4delhi | director ddca| ex president yuva morcha @bjp4delhi |bjp mla candidate 2020| followed by pm @narendramodi ji| ex secretary @bjp4delhi,https://twitter.com/SunilYadavBJP,jor bagh lane,https://t.co/mwPLXlBkKX
gurdeepsappal,aicc incharge-admin & coordinator office of congress president @incindia/ex-ceo & editor @rajyasabhatv /ex osd to the vice president of india/ @sbfindia,https://twitter.com/gurdeepsappal,,
shahid_siddiqui,gen sec alliance for economic and educational development for the underprivileged aeedu national vice president rld. former mp(rs) editor nai dunia,https://twitter.com/shahid_siddiqui,new delhi,
reedharrisufc,former owner wec - ufc senior vice president of athlete development and marketing,https://twitter.com/reedharrisufc,las vegas,
OhhRogerr,vice president of content @optic | roger@opticgaming.tv,https://twitter.com/OhhRogerr,"dallas, tx",
ThisIsAnilJha,"chief executive officer & partner at https://t.co/itxh5qgugj ex senior vice president star india & star plus, producer - #tbjjn zee tv.",https://twitter.com/ThisIsAnilJha,mumbai,https://t.co/2Y5Aj9XCsx
mellinger,"husband. father. kansas city royals vice president of communications. former sports writer. former lots of other stuff, too.",https://twitter.com/mellinger,kansas city,https://t.co/h3jeVncRm3
BarryLarkin,"senior vice president and board of directors, @baseballunited; @mlb hof 2012; @reds ⚾️",https://twitter.com/BarryLarkin,,
GurpreetKChadha,"actor/producer by profession & a politician by passion,ex advisory panel member(cbfc/ mtnl) president @ngopgf vice president @mumbaipmc",https://twitter.com/GurpreetKChadha,"mumbai, india",https://t.co/YP1hL0EFsH
dannyalexander,"former chief secretary to the uk treasury, now vice president of aiib, based in beijing",https://twitter.com/dannyalexander,,https://t.co/xynrDEZ0Eq
JJCarafano,heritage foundation vice president for foreign & security policy-a guy just trying to prevent world war iii one tweet at a time (opinions expressed are my own),https://twitter.com/JJCarafano,"washington, dc",https://t.co/ObUi6a6mHN
sergey_bubka,"pole vault olympic champion, ioc member, iaaf senior vice president; unesco champion for sport, @eusport #beactive ambassador, president of the noc of ukraine",https://twitter.com/sergey_bubka,ukraine,https://t.co/u5A7PzQutr
VMRConstancio,"former ecb vice president. president of the council of iseg, university of lisbon. professor at navarra university, masters school, madrid",https://twitter.com/VMRConstancio,portugal,https://t.co/vsXPyEJ6Oq
cjonescowboys,"@dallascowboys exec vice president & chief brand officer, nfl foundation chairman, former salvation army national advisory board chair & daughter of jerry jones",https://twitter.com/cjonescowboys,"dallas, tx",https://t.co/DdJLHk1Phq
_delconte,"vice president and athletics director, the university of texas",https://twitter.com/_delconte,"austin, tx",https://t.co/d8Z854e0zu
imranahmadkh,"senior vice president @asportstvpk. past life at @therealpcb & @thepslt20. @columbiajourn '17, @lifeatlums '14",https://twitter.com/imranahmadkh,"lahore, pakistan",https://t.co/CvjTfx8rRP
HarrisonComms,"senior vice president, actum llc | former uk director of comms, huawei | former sky news senior news editor & royal/business correspondent | true crime author",https://twitter.com/HarrisonComms,london,https://t.co/GjaQ1aLDX6
MrPhilHarrison,"vice president and gm, google. i sometimes share work and stadia stuff. opinions are always mine.",https://twitter.com/MrPhilHarrison,"silicon valley, ca",https://t.co/g3KYcVTCxE
Grishamfight,"vice president of global acquisitions @playundisputed, dazn boxing. glory kickboxing. making television magic one show at a time #merica",https://twitter.com/Grishamfight,"connecticut, usa",https://t.co/E7XygXEhoH
FredKempe,ceo & president @atlanticcouncil. author. journalist. entrepreneur. rt ≠ endorsement,https://twitter.com/FredKempe,"washington, dc",https://t.co/eJbKFu4aRm
Charlielipsie,vice president of operations @sentinels,https://twitter.com/Charlielipsie,shanghai✈️california,
KhanSaumitra,"mp bishnupur,bjp leader and 1time ex mla, 2time mp,vice president @bjp4bengal, ex state president @bjyminwb",https://twitter.com/KhanSaumitra,"bishnupur, india",https://t.co/Mppq5Dtylm
aneeshgautam69,"in the billy beane mould...popularly known as cover bhai, working as vice president for youwecan/ysce/ywc sports and personal manager to yuvraj singh",https://twitter.com/aneeshgautam69,new delhi / gurgaon,https://t.co/6VyHW4xSzX
GoncharenkoUa,"vice president of the pace committee on migration, refugees and displaced persons, ukrainian mp",https://twitter.com/GoncharenkoUa,kyiv,https://t.co/RrPwCXKRCn
HartwigSchafer,leader and development professional with over three decades of global experience and former south asia regional vice president at the world bank,https://twitter.com/HartwigSchafer,"washington, dc",
Medha_kulkarni,"educationist, politician ;

principal - sevasadan d.el.ed. college, pune ;

ex-mla, kothrud ;

national vice president - @bjpmahilamorcha ;

indian 🇮🇳",https://twitter.com/Medha_kulkarni,"pune, india",https://t.co/cX8W1uZ7vQ
Welshman_Ncube,zimbabwean. advocate. professor of law. vice president ccc. former minister of industry and commerce.,https://twitter.com/Welshman_Ncube,"bulawayo and harare, zimbabwe",
courtemancheMLS,major league soccer executive vice president of communications. proud husband and father. @universityofga alum. all opinions here are my own.,https://twitter.com/courtemancheMLS,"new york, ny",https://t.co/4MuSfBBTfR
StackhouseJohn,"senior vice-president, office of the ceo, royal bank of canada. host of disruptors, an rbc podcast",https://twitter.com/StackhouseJohn,canada,https://t.co/dGOCbm0Dx8
asbabar786,"politician. consultant. founding member, founding president pti balochistan, former vice president & central information secretary. fighting for justice.",https://twitter.com/asbabar786,islamabad,https://t.co/NByxZHJhYi
yusuf_i_mehdi,"corporate vice president & consumer chief marketing officer, microsoft",https://twitter.com/yusuf_i_mehdi,,https://t.co/uayVZ3UzkA
heguisen,"taiwan-based journalist. bylines in @nytimes, @nikkeiasia, @theatlantic, @business. previously hong kong, kunming, shanghai, lfk. vice president @taiwanfcc.",https://twitter.com/heguisen,taipei,https://t.co/73GAOu8etG
b_momani,"professor & assistant vice-president, research & international @uwaterloo| senior fellow @cigionline & @gulfstatesinst| international affairs analyst",https://twitter.com/b_momani,,https://t.co/WYW6ygQU8c
sethasfishman,vice president & la based literary agent @ the gernert company & author of picture books like a hundred billion trillion stars & bad drawer.,https://twitter.com/sethasfishman,,https://t.co/g08rB38ud8
dubravkasuica,vice president of the @eu_commission in charge of democracy and demography 🇪🇺 /conference on the future of europe/ former mep / former mayor of dubrovnik 🇭🇷,https://twitter.com/dubravkasuica,"brussels, belgium",https://t.co/v5WEx0dlYM
RangerBlake,john blake is the executive vice president of public affairs for the texas rangers.,https://twitter.com/RangerBlake,"arlington, tx",https://t.co/aE50KTEAj9
HarvSmyth,air marshal harv smyth. raf. hon col 2nd(ni) bn army cadets. patron jon egging trust & ulster aviation society. president raf shooting. vice president raf rugby,https://twitter.com/HarvSmyth,"hq air cmd, raf high wycombe",https://t.co/ilbNOqniAE
RadharamnDas,"vice president & spokesperson iskcon @iskconkolkata, director wb annamrita, https://t.co/zgrr71jcdo, views expressed here r personal, rt&likes≠endorsement.हिन्दू |
ಹಿಂದೂ, হিন্দু",https://twitter.com/RadharamnDas,india,https://t.co/x8BK7QdopW
billybeanball,"major league baseball.  
senior vice president - diversity, equity & inclusion.
special assistant to the commissioner",https://twitter.com/billybeanball,"new york, ny",https://t.co/yIr9ERsBay
iRacingMyers,executive vice president at https://t.co/g1xaswomor.,https://twitter.com/iRacingMyers,"chelmsford, ma",https://t.co/PDjLCLFTyG
gupta_rekha,"councillor ward no 56 ,national vice president bjp mahila morcha,incharge bjp mahila morcha up blessed follow by pm narendra modi ji patron ngo aas foundation",https://twitter.com/gupta_rekha,delhi,https://t.co/6PQhr6lqGS
BobLangeEagles,"philadelphia eagles senior vice president of communications. my wife, rachael, and i have two amazing daughters, charlotte and emma.",https://twitter.com/BobLangeEagles,philadelphia pa,https://t.co/43RiQWxroB
MarcRatnerUFC,ufc senior vice president of regulatory affairs,https://twitter.com/MarcRatnerUFC,"las vegas, nv",http://t.co/R9UXYRLQm2
BarronHilton,senior vice president @hiltonhyland forbes global properties @forbes_gp,https://twitter.com/BarronHilton,la/ny,https://t.co/TgDKIHHtKd
AuontaiAnderson,dad | educator | president of @cbcsbd | vice president of @dpsnewsnow (he/him) #deliveringfordenver,https://twitter.com/AuontaiAnderson,"denver, co",https://t.co/QOaVilDd9G
PepeEscamilla_,"vice president & head of business development @nbalatam | leading sponsorship sales & partner activations
- views are my own",https://twitter.com/PepeEscamilla_,mexico city metropolitan area,https://t.co/95vbofbMyJ
peeters_kris1,"vice-president of the european investment bank, former member of the european parliament",https://twitter.com/peeters_kris1,luxembourg,https://t.co/UwTLDFCyrm
paul_scharre,"vice president and director of studies at cnas. author of ""four battlegrounds: power in the age of artificial intelligence.""",https://twitter.com/paul_scharre,,https://t.co/BcFc7qCsTu
LuclinFTW,vice president of digital experience @melonverse | co-creator of @playinsula @mrsluclin = player #2 @justlilethan = carbon copy / man of god,https://twitter.com/LuclinFTW,,https://t.co/yqfk5kAzQO
chercalvin,"@ktla news anchor 5, 6,10,11p weeknights* 7x emmy winner @lapressclub vice president @ktla5at5",https://twitter.com/chercalvin,"los angeles, california ",https://t.co/BRdYgpQKoK
joe_cressy,"dad. husband. senior vice president, george brown college. former city councillor and chair, toronto board of health.",https://twitter.com/joe_cressy,,
aruna_dk,"national vice president @bjp4india, co-incharge @bjp4karnataka , mla - gadwal telangana 2004-09, 2009-14, 2014-19, former minister govt. of united ap.",https://twitter.com/aruna_dk,hyderabad,https://t.co/MAgBtEzw2s
Espo,"host of @phnx_suns show, great value brian windhorst, vice president of content for @phnx_sports. proud husband and #girldad. former suns postgame radio host.",https://twitter.com/Espo,landale landing - phnx,https://t.co/IrgcwnMKZ6
drrajdeeproy,"member of parliament, vice president bjp assam, orthopaedic surgeon, silchar, assam. tweets are my personal opinion, rts are not endorsements.",https://twitter.com/drrajdeeproy,"silchar, india",
raedita,associate producer: shakuntala devi. ex: associate vice president - creative & marketing @abundantia_ent. ex @filmfare'er. https://t.co/zxcafsuyag,https://twitter.com/raedita,mumbai ,
iamjameshaarsma,vice president of @rcincorporated,https://twitter.com/iamjameshaarsma,"racine, wi",https://t.co/sZJ6XpF6oL
scottkleinberg,this legacy verified account is notable • wgn social media • vice president of customer experience • chicago tribune alum,https://twitter.com/scottkleinberg,,https://t.co/GuW68J1Yw2
Lord_Bilimoria,founder and chairman of @cobrabeer. independent crossbench peer @ukhouseoflords. chancellor of @unibirmingham. vice president @cbitweets.,https://twitter.com/Lord_Bilimoria,united kingdom,
zuberishahab,group chief aaj news / aaj entertainment / bussiness recorder and vice president apns,https://twitter.com/zuberishahab,karachi pakistan,https://t.co/gBGr3m9iFm
BlueDemonsAD,official twitter account of depaul university vice president & director of athletics - follow @depaulathletics,https://twitter.com/BlueDemonsAD,"chicago, il",https://t.co/dh6fFaPrJG
IAmErAijaz,first elected ddc in srinagar | former national vice president bjym | member haj commitee of india | chairman aircharter (hcoi)|  incharge lalchowk constituency,https://twitter.com/IAmErAijaz,"srinagar, india",
anjubobbygeorg1,olympian. indian long jumper. chairperson- anju bobby sports foundation. vice president @afiindia,https://twitter.com/anjubobbygeorg1,"bengaluru south, india",
DrKatrinaAdkins,vice president @usaelesports • professor of #gaming & #esports • mom of gamers• speaker • author• #stem #spacedesign #metaverse #coding #cte,https://twitter.com/DrKatrinaAdkins,"chattanooga, tn #cha",https://t.co/NTxqCrfjI4
JaneTaber1,vice president public affairs national public relations,https://twitter.com/JaneTaber1,ottawa/halifax ,
tolanialli,"global award-winning storyteller, starred in netflix & sbl’s strong black lens docu & personal photographer to the vice president of 🇳🇬 @profosinbajo",https://twitter.com/tolanialli,somewhere making the impossible possible ,https://t.co/jSwaiL8vTS
KristianJack,vice president media & content of @cplsoccer & @onesoccer broadcaster. my 🌍 @brunette_baker & 2 amazing kids ❤️ instagram: @itskristianjack,https://twitter.com/KristianJack,canada,
DrPritamMunde,"member of parliament, beed (maharashtra)
◆ committee on welfare of obc's
◆ committee on health and family welfare ◆ vice president of @bjp4maharashtra",https://twitter.com/DrPritamMunde,india,https://t.co/CESQvgKK2w
SaraMegibow,"she/her
vice president and senior literary agent at kt literary
always lgbtqia+  friendly",https://twitter.com/SaraMegibow,sunny colorado,https://t.co/KvUPKtarTG
mishra_kasturi,"state vice president bjp mahila morcha odisha believe in generosity & karma, live simple n think high, followed by @narendramodi ji",https://twitter.com/mishra_kasturi, india,https://t.co/8ifAbK5gf8
MathaiWanjira,"vice president & regional director for africa, world resources institute, chair, wangari maathai foundation, bullish about africa,yogini, tweets, my own",https://twitter.com/MathaiWanjira,"nairobi, kenya",
LeeZurik,"anchor/chief investigative reporter - wvue-tv.  vice president of investigations - gray tv/investigatetv. father of two girls, jenny's husband, and avid runner.",https://twitter.com/LeeZurik,new orleans,
KailashChandOBE,"honorary vice president of bma.ex deputy chair of bma council &chair of nhs trust write 4guardian,pulse,asianlite& inews.all tweets/views in personal capacity!",https://twitter.com/KailashChandOBE,greater manchester,https://t.co/lfoPHiDu6a
amyhollyfield,abc7 news reporter turned pr senior vice president at zeno group. ready to help advise on the other side.,https://twitter.com/amyhollyfield,san francisco,https://t.co/z2WALMM06W
MichaelPell,"senior vice president, entertainment content, north america | seven network australia",https://twitter.com/MichaelPell,los angeles,
gpzadafia,"• official account of gordhanbhai zadafia • vice president gujarat state bjp • former mos home, gujarat",https://twitter.com/gpzadafia,"ahmadabad city, india",https://t.co/WOhmItTKVz
simonereyes,#countrymusic artist /vice president social compassion in legislation - we make the world better for animals one law at a time,https://twitter.com/simonereyes,hollywood / new york city ,https://t.co/8HTZNWHYhK
spoonen,"ceo & president @ cohesity | board of philips, snyk | tech investor | christian, immigrant | loves faith, family, technology, leadership, sports & music",https://twitter.com/spoonen,"palo alto, ca",https://t.co/pzRxevEQoU
afghcricket,"ex,captain,member of cricket board, (acb) assistant coach with acb ,goodwill ambassador unicef,vice president (mnf)views are personal",https://twitter.com/afghcricket,afghanistan,https://t.co/kdkwFmhuWJ
ghokmark,for freedom since 52. chairman of stockholm free world forum. former member of the european parliament and vice president of the epp-group.,https://twitter.com/ghokmark,stockholm,https://t.co/8tLZyt0u4t
Arafat__AH,"father||ceo @zic_znz || board chair mucoba bank || vice president @yangasc1935 ||board member @wrrbtz||  views expressed here are my own,rt~ read this ||",https://twitter.com/Arafat__AH,"donge,zanzibar",https://t.co/9sV1WagKhL
PhilipObin,"busines coach, founder of https://t.co/bi8jzpjpd9 & technical assistant to the vice president of nigeria @profosinbajo on new media | obinphil@gmail.com",https://twitter.com/PhilipObin,nigeria,https://t.co/4QoIjPkHif
MolllyMack,follower of christ • nfl agent & vice president @ caric sports management • csulb '13 & chapman law '16 • mark 9:23. my child will be born on a bye week.,https://twitter.com/MolllyMack,las vegas,https://t.co/7tYXqdcIO4
thearmchaircom,"vice president of @thewitnessbcc commentary on race, faith, & the internet. black. christian. writer. womanist. she/her/hers https://t.co/wjl8gmqnlm",https://twitter.com/thearmchaircom,"chicago, il",https://t.co/R4kA6h3rxx
tasleemarifk,"building products for next billion users |
vice president | head india r&d @oppo",https://twitter.com/tasleemarifk,"hyderabad, india",https://t.co/XTkWLThZlw
farooq_pm,former prime minister of the azad government of the state of jammu & kashmir | central vice president pakistan muslim league n.,https://twitter.com/farooq_pm,"muzaffarabad, azad kashmir",https://t.co/m7BfT892YQ
astrogrant,"astrophysicist at the @centerforastro | @harvard & @smithsonian. vice president @aas_office, chair @nasa physpag ec, shill @newgreatobs. he/his. views my own.",https://twitter.com/astrogrant,"cambridge, ma",https://t.co/f5QClTOTDJ
aditya_kondawar,"partner, vice president - key accounts @compcircle

tracks - ipos, pre-ipo/unlisted, fmcg, telecom 

i post threads on the above topics and many others!",https://twitter.com/aditya_kondawar,"pune, india",https://t.co/6tkJKAXju9
shallujindal20,"kuchipudi danseuse ,chairperson @jsplfoundation, ex-chairperson national bal bhawan,vice president @ffoindia,former chairperson yflo,author,parent,home maker",https://twitter.com/shallujindal20,new delhi,https://t.co/YhPxEPn20w
Odile_Roujol,"founder fab ventures and fab community. ex lancôme ceo/ president @loreal, chief strategy & data officer @orange. @beautytechsf @beautytechvent1 #community #vc",https://twitter.com/Odile_Roujol,l.a. sanfrancisco. paris,https://t.co/CiMaoGzfhj
